"x","f(x)","sin(x)","cos(x)","tan(x)","cot(x)","sec(x)","csc(x)","log_3(x)","log_5(x)","log_10(x)","ln(x)"
"-5.0,7.916152725244494,0.9587763690226141,0.2835840476072515,3.3809249043178458,0.2957770516354505,3.5262914414175572,1.042996085749808,NaN,NaN,NaN,NaN"
"-4.75,686.6788611458466,1.0001335195754335,0.038121224824192286,26.23560822580743,0.03811613557395328,26.23210572618814,0.9998664982496636,NaN,NaN,NaN,NaN"
"-4.5,17.848895794353282,0.9778676393387136,-0.21061553262578983,-4.642903717249266,-0.21538245479543563,-4.747987897819224,1.0226332887713245,NaN,NaN,NaN,NaN"
"-4.25,1.2729935798701328,0.8951178817446176,-0.44603059325964384,-2.0068531066512527,-0.49829257392368687,-2.2419986770232123,1.117171291507397,NaN,NaN,NaN,NaN"
"-4.0,1.6600827078111033E-5,0.7560275115830664,-0.6540630609271597,-1.155893914130188,-0.8651312960259865,-1.5289045655360223,1.3227031882822267,NaN,NaN,NaN,NaN"
"-3.75,0.10589355048441446,0.5712649340097008,-0.8206872946252376,-0.6960811234083571,-1.4366141623026722,-1.2184908996996775,1.7505012831454814,NaN,NaN,NaN,NaN"
"-3.5,118.11146940806408,0.35067724867955763,-0.9364903928672749,-0.3744589921588846,-2.6705193918155277,-1.0678166136208576,2.851624973577289,NaN,NaN,NaN,NaN"
"-3.25,456581.0239539201,0.10888482832779783,-0.9938445130278333,-0.10955921867100799,-9.127483858778414,-1.0061936116681003,9.184015949306541,NaN,NaN,NaN,NaN"
"-3.0,158401.90603269092,-0.1408745941558441,-0.9899251911461259,0.14230832331152302,7.026995868758351,-1.0101773436457453,-7.0985120205119365,NaN,NaN,NaN,NaN"
"-2.75,480.92141866646824,-0.3815812738614921,-0.924919440742054,0.41255622603775427,2.4239120315893303,-1.081175241811016,-2.620673676882226,NaN,NaN,NaN,NaN"
"-2.5,38.11340603647396,-0.5990461991998042,-0.8012608749079507,0.747629415037422,1.3375610695439877,-1.2480329831590498,-1.6693203317803922,NaN,NaN,NaN,NaN"
"-2.25,11.762552717989813,-0.7782546937465669,-0.628186768606741,1.2388906176305852,0.8071737615646243,-1.5918832582512135,-1.284926397534382,NaN,NaN,NaN,NaN"
"-2.0,10.244535674883549,-0.909347442680776,-0.4160259906954699,2.1857947893126135,0.4574994893800067,-2.4036959766102637,-1.099689681923972,NaN,NaN,NaN,NaN"
"-1.75,34.359402855584136,-0.9835733201768663,-0.17920367320510344,5.488577899020742,0.18219655772370788,-5.580242760177538,-1.0167010221669899,NaN,NaN,NaN,NaN"
"-1.5,202.58696795075517,-0.9973911830357143,0.07079632679489656,-14.08817700281609,-0.0709815045481122,14.125026611862104,-1.0026156406920956,NaN,NaN,NaN,NaN"
"-1.25,13.75327138492448,-0.9499104817708333,0.31529411998368295,-3.0127757594083673,-0.3319198240616403,3.171641767539946,-1.0527307774684087,NaN,NaN,NaN,NaN"
"-1.0,9.766944313064018,-0.8416666666666667,0.5398012826940385,-1.5592157589290625,-0.6413480586463823,1.8525335749652228,-1.188118811881188,NaN,NaN,NaN,NaN"
"-0.75,20.02449107629903,-0.6816650390625,0.7317382043662325,-0.9315695627138924,-1.0734571416081402,1.3666089785022395,-1.4669961677590344,NaN,NaN,NaN,NaN"
"-0.5,129.88940762271162,-0.4791666666666667,0.8778977852978218,-0.5458114540112573,-1.8321345084476282,1.1390847735887109,-2.0869565217391304,NaN,NaN,NaN,NaN"
